Date,Status,Users,UUIDs,Link,Ticket Number,Legundo Mentioned
"Aug 11, 2020 9:34 AM",Withdrawn,"['Columey#7686', 'Xcerty#1132', 'Chubbsffs#5533', 'Dominion Tickets#4843']","['321916394327506945', '383372912054370309', '453895458184757251', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/742684681891348570/transcript-claimed-0071.html,0071,False
"Aug 9, 2020 9:55 AM",Withdrawn,"['Dominion Tickets#4843', 'ItsWilven#0001', 'Lord_Bones#1337', 'ClaysLostTime#2842', 'RioSheep#1839', 'kaine#3401']","['183727565960118273', '557628352828014614', '143323590970966016', '165160335903424512', '162392061864181761', '311877089739407361']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/742926436041752667/transcript-pending-0068.html,0068,False
"Aug 12, 2020 7:09 PM",Withdrawn,"['Xcerty#1132', 'Matt.#2005', 'Dominion Tickets#4843']","['606558584511266816', '383372912054370309', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/743191271102873610/transcript-claimed-0072.html,0072,False
"Aug 13, 2020 6:28 PM",Withdrawn,"['Xcerty#1132', 'Blackwing#2700', 'Dominion Tickets#4843']","['228687337687744512', '383372912054370309', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/743562858591158455/transcript-claimed-0073.html,0073,False
"Aug 13, 2020 11:06 PM",Withdrawn,"['ᴛᴏᴀᴅ#8126', 'Xcerty#1132', 'Dominion Tickets#4843']","['383372912054370309', '560548695158947849', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/743617861502631995/transcript-claimed-0077.html,0077,False
"Aug 13, 2020 8:47 PM",Withdrawn,"['FireZD__#3671', 'Chubbsffs#5533', 'Dominion Tickets#4843']","['734873654072049755', '321916394327506945', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/743629312812515378/transcript-pending-0075.html,0075,False
"Aug 13, 2020 7:17 PM",Withdrawn,"['Chubbsffs#5533', 'SadBoi Flacko#8057', 'Dominion Tickets#4843', 'Xcerty#1132', 'ItsWilven#0001', 'ClaysLostTime#2842']","['288504582878003212', '383372912054370309', '557628352828014614', '321916394327506945', '143323590970966016', '162392061864181761']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/743629327517745202/transcript-pending-0074.html,0074,False
"Aug 14, 2020 3:38 PM",Withdrawn,"['Chubbsffs#5533', 'Dominion Tickets#4843', 'BobTheSnob_#8659', 'Xcerty#1132', 'flud#1234']","['383372912054370309', '321916394327506945', '557628352828014614', '411625526428434442', '257582185932914688']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/744223687213056091/transcript-claimed-0078.html,0078,False
"Aug 17, 2020 5:41 PM",Withdrawn,"['mtnbrkprzn#4025', 'ItsWilven#0001', 'BobTheSnob_#8659', 'Dominion Tickets#4843']","['143323590970966016', '257582185932914688', '489068970494918656', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/745245639742455808/transcript-pending-0079.html,0079,False
"Aug 13, 2020 9:48 PM",Withdrawn,"['StaleKale#1168', 'Xcerty#1132', 'Dominion Tickets#4843']","['215503426262401024', '383372912054370309', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/745290637141737522/transcript-pending-0076.html,0076,False
